Student ID,Student Name,Date,2023-12-26
3113263,Aditya,2023-12-26,A
66939682,Aditya,2023-12-26,A
28092138,Aryan,2023-12-26,A
87535795,Priya,2023-12-26,A
86296777,Prakash,2023-12-26,A
55339641,Ravi,2023-12-26,A
70520801,Aryan,2023-12-26,A
52181292,Anjali,2023-12-26,A
30754361,Diya,2023-12-26,A
65710558,Aryan,2023-12-26,A
22367141,Diya,2023-12-26,A
15201300,Harry,2023-12-26,A
70500614,Payal,2023-12-26,A
41932806,Harry,2023-12-26,A
93290517,Aditya,2023-12-26,A
63134613,Aditya,2023-12-26,A
36629460,Prakash,2023-12-26,A
44133407,Aditya,2023-12-26,A
98217317,Ravi,2023-12-26,A
36743444,Ravi,2023-12-26,A
21378096,Aryan,2023-12-26,A
17790080,Ravi,2023-12-26,A
77365485,Deepak,2023-12-26,A
65352550,Prakash,2023-12-26,A
71720807,Aditya,2023-12-26,A
36128081,Prakash,2023-12-26,A
96299085,Prakash,2023-12-26,A
58490789,Ravi,2023-12-26,A
5888592,Rani,2023-12-26,A
50717225,Rani,2023-12-26,A
55799481,Diya,2023-12-26,A
2213637,Diya,2023-12-26,A
54551293,Diya,2023-12-26,A
45461302,Diya,2023-12-26,A
71673864,Diya,2023-12-26,A
50363698,Rani,2023-12-26,A
2541001,Rani,2023-12-26,A
44696490,Priya,2023-12-26,A
72395461,Payal,2023-12-26,A
44208576,Ravi,2023-12-26,A
6112760,Payal,2023-12-26,A
24007542,Prakash,2023-12-26,A
75829054,Aryan,2023-12-26,A
43563616,Prakash,2023-12-26,A
33570093,Prakash,2023-12-26,A
40591135,Aditya,2023-12-26,A
34236939,Aryan,2023-12-26,A
33210470,Deepak,2023-12-26,A
91669334,Aditya,2023-12-26,A
86172933,Diya,2023-12-26,A
35653224,Diya,2023-12-26,A
93372670,Prakash,2023-12-26,A
93236149,Deepak,2023-12-26,A
88420928,Aditya,2023-12-26,A
38342893,Priya,2023-12-26,A
88929643,Harry,2023-12-26,A
52655278,Rani,2023-12-26,A
90977384,Payal,2023-12-26,A
74074207,Aryan,2023-12-26,A
21892273,Harry,2023-12-26,A
40755520,Prakash,2023-12-26,A
57013948,Priya,2023-12-26,A
9738947,Rani,2023-12-26,A
63072929,Priya,2023-12-26,A
37604776,Aditya,2023-12-26,A
8558449,Aditya,2023-12-26,A
91386329,Priya,2023-12-26,A
21322233,Rani,2023-12-26,A
5908643,Aryan,2023-12-26,P
